link,penilaian,price,spek,seller_name,seller_rate,star_rating,cunt_rating,sales,category,Merk,Stock,Supplier_Place,total_penilaian,total_product,percentage_reply_m,reply_time_parameter,registered_date,follower
https://shopee.co.id/CASE-MATTE-CASE-DOVE-ALL-TYPE-HP-TYPE-YG-READY-DAPAT-BACA-DI-DESKRIPSI-DNGN-PELINDUNG-KAMERA-RANDOM-i.187229233.3777565349,"['4.6', '36', '487']",Rp15.000,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanMetal', 'Model HPAll type', 'Stok99989', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",berkahcell168,"['7RB', '1,4RB', '91%', 'hitungan jam', '20 bulan lalu', '931']",4.6,36,487,KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanMetal,Model HPAll type,7RB,"1,4RB",91%,hitungan jam,20 bulan lalu,931
https://shopee.co.id/BUMPER-ARMOR-CASE-XIAOMI-REDMI-NOTE-3-REDMI-NOTE-5-5A-NOTE-6-PRO-NOTE-4X-MATTE-TRANSPARENT-COVER-i.79849719.9902824463,"['4.8', '36', '58']",Rp18.500,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanSilikon', 'Model HPXIAOMI', 'Stok4968', 'Dikirim DariKOTA JAKARTA BARAT - GROGOL PETAMBURAN, DKI JAKARTA, ID']",pasarlapan8,"['11,5RB', '636', '86%', 'hitungan jam', '35 bulan lalu', '2,9RB']",4.8,36,58,KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanSilikon,Model HPXIAOMI,"11,5RB",636,86%,hitungan jam,35 bulan lalu,"2,9RB"
https://shopee.co.id/Vivo-Y30-Y50-Y20s-Y51-Y53-Y90-Y91c-Soft-Case-Matte-Lanyard-Casing-Tali-Gantung-i.373579867.4578749114,"['4.7', '78', '133']",Rp35.000,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekTidak Ada Merek', 'BahanPlastik', 'Model HPVivo', 'Stok4988', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",seindo_grosir,"['4,2RB', '683', '98%', 'hitungan jam', '5 bulan lalu', '2,9RB']",4.7,78,133,KategoriShopeeHandphone & AksesorisCasing & CoversHard Case,MerekTidak Ada Merek,BahanPlastik,Model HPVivo,"4,2RB",683,98%,hitungan jam,5 bulan lalu,"2,9RB"
https://shopee.co.id/For-iPhone-Star-Light-Glitter-Lanyard-Case-Sling-Case-Tali-i.5387060.9120310729,"['4.9', '142', '282']",Rp35.000,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanPremium Case TPU', 'Model HPiPhone', 'Stok1008', 'Dikirim DariKOTA JAKARTA UTARA - TANJUNG PRIOK, DKI JAKARTA, ID']",kelontongunik,"['897,5RB', '655', '86%', 'hitungan jam', '5 tahun lalu', '470,3RB']",4.9,142,282,KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanPremium Case TPU,Model HPiPhone,"897,5RB",655,86%,hitungan jam,5 tahun lalu,"470,3RB"
https://shopee.co.id/TRANSPARENT-BARCODE-ABSTRACK-LABEL-CASE-IPHONE-6-7-8-7-8-X-11-PRO-MAX-CASING-IPHONE-ART-LABEL-i.336143411.8326757426,"['4.8', '60', '115']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanSilikon', 'Model HPIphone', 'Stok27', 'Dikirim DariKOTA SURABAYA - GUBENG, JAWA TIMUR, ID']",i.case_store,"['3,3RB', '40', '98%', 'hitungan jam', '7 bulan lalu', '3,8RB']",4.8,60,115,KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanSilikon,Model HPIphone,"3,3RB",40,98%,hitungan jam,7 bulan lalu,"3,8RB"
https://shopee.co.id/CASE-HP-VIVO-Y91C-Y12-Y15-Y17-Y12S-Y20-Y30-Y50-i.10015064.5288991140,"['5.0', '7', '19']",Rp17.000,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanSilikon', 'Model HPVIVO', 'Stok49', 'Dikirim DariKOTA SURABAYA - RUNGKUT, JAWA TIMUR, ID']",roland040690,"['170', '24', '75%', 'hitungan jam', '5 tahun lalu', '1,7RB']",5.0,7,19,KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanSilikon,Model HPVIVO,170,24,75%,hitungan jam,5 tahun lalu,"1,7RB"
https://shopee.co.id/CASING-HP-OPPO-A15-A1K-A5-A9-A52-A31-A3S-A53-A12-F9-A7-A5S-2020-i.81095102.9555323833,"['4.9', '172', '323']",Rp19.900,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanSilikon', 'Model HPOPPO VIVO', 'Stok99', 'Dikirim DariKOTA SURABAYA - RUNGKUT, JAWA TIMUR, ID']",finkfong.shop,"['9,1RB', '134', '89%', 'hitungan jam', '34 bulan lalu', '34,3RB']",4.9,172,323,KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanSilikon,Model HPOPPO VIVO,"9,1RB",134,89%,hitungan jam,34 bulan lalu,"34,3RB"
https://shopee.co.id/CASE-HP-OPPO-VIVO-A3S-A37-A5A9-A57A39-A83-F5-F9A12A7A5S-F11-V5-V9-Y12Y15Y17-Y55-Y81Y83-Y91CY95-i.10015064.9824946162,"['4.9', '25', '53']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanSilikon', 'Model HPOPPO VIVO', 'Stok502', 'Dikirim DariKOTA SURABAYA - RUNGKUT, JAWA TIMUR, ID']",roland040690,"['170', '24', '75%', 'hitungan jam', '5 tahun lalu', '1,7RB']",4.9,25,53,KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanSilikon,Model HPOPPO VIVO,170,24,75%,hitungan jam,5 tahun lalu,"1,7RB"
https://shopee.co.id/CASE-HP-OPPO-F1S-A52-A57-A83-A3S-A5-A9-2020-F5-A37-F11-A12-F9-A5S-A7-i.10015064.3050803142,"['5.0', '4', '4']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanSilikon', 'Model HPOPPO', 'Stok209', 'Dikirim DariKOTA SURABAYA - RUNGKUT, JAWA TIMUR, ID']",roland040690,"['170', '24', '75%', 'hitungan jam', '5 tahun lalu', '1,7RB']",5.0,4,4,KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanSilikon,Model HPOPPO,170,24,75%,hitungan jam,5 tahun lalu,"1,7RB"
https://shopee.co.id/CASING-HP-SAMSUNG-A11-A10S-A21S-A20-A20S-A50-A51-A12-A7-2018-A70-A71-J7PRIME-J2PRIME-i.81095102.5786044606,"['4.8', '34', '48']",Rp15.500,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanSilikon', 'Model HPSAMSUNG', 'Stok43', 'Dikirim DariKOTA SURABAYA - RUNGKUT, JAWA TIMUR, ID']",finkfong.shop,"['9,1RB', '134', '89%', 'hitungan jam', '34 bulan lalu', '34,3RB']",4.8,34,48,KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanSilikon,Model HPSAMSUNG,"9,1RB",134,89%,hitungan jam,34 bulan lalu,"34,3RB"
https://shopee.co.id/READY!-Sling-Casing-Lanyard-Tali-Case-Hp-ADA-SEMUA-TIPE-HP-iPhone-Oppo-Vivo-Xiaomi-Samsung-Realme--i.139230866.5641234612,"['4.8', '1,6RB', '3,3RB']",Rp19.000 - Rp57.000,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanSilikon', 'Model HPAll types', 'Stok1368', 'Dikirim DariKOTA SURABAYA - SAMBIKEREP, JAWA TIMUR, ID']",morikacase,"['23RB', '418', '93%', 'hitungan jam', '26 bulan lalu', '87,2RB']",4.8,"1,6RB","3,3RB",KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanSilikon,Model HPAll types,23RB,418,93%,hitungan jam,26 bulan lalu,"87,2RB"
https://shopee.co.id/CASING-HP-SAMSUNG-A7-2018-A10-A10S-A11-A20-A20S-A21S-A31-A50-A51-A70-A71-M20-M30S-M31-J2-J7-PRIME-i.81095102.5179695253,"['4.8', '39', '68']",Rp19.900,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekTidak Ada Merek', 'BahanSilikon', 'Model HPSAMSUNG', 'Stok40', 'Dikirim DariKOTA SURABAYA - RUNGKUT, JAWA TIMUR, ID']",finkfong.shop,"['9,1RB', '134', '89%', 'hitungan jam', '34 bulan lalu', '34,3RB']",4.8,39,68,KategoriShopeeHandphone & AksesorisCasing & Covers,MerekTidak Ada Merek,BahanSilikon,Model HPSAMSUNG,"9,1RB",134,89%,hitungan jam,34 bulan lalu,"34,3RB"
https://shopee.co.id/Garskin-Carbon-stiker-pelindung-casing-hp-oppo-F1s-F5-F7-F9-F11-F11-pro-FIND-X2-i.21862397.6576215554,"['4.9', '30', '54']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversSkin Handphone', 'MerekTidak Ada Merek', 'Stok146', 'Dikirim DariKOTA SURABAYA - GENTENG, JAWA TIMUR, ID']",surabayaacc1,"['72,5RB', '1,5RB', '95%', 'hitungan jam', '4 tahun lalu', '23,1RB']",4.9,30,54,KategoriShopeeHandphone & AksesorisCasing & CoversSkin Handphone,MerekTidak Ada Merek,Stok146,"Dikirim DariKOTA SURABAYA - GENTENG, JAWA TIMUR, ID","72,5RB","1,5RB",95%,hitungan jam,4 tahun lalu,"23,1RB"
