,link,penilaian,price,spek,seller_name,seller_rate
0,https://shopee.co.id/Hardcase-My-Choice-Hybrid-Samsung-A32-Pelindung-Kamera-Protector-Camera-i.306385240.9037991026,"['4.7', '24', '147']",Rp11.000,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekSamsung', 'BahanPlastik', 'Model HPA32', 'Stok66', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",spot_accessories,"['4,3RB', '224', '87%', 'hitungan jam', '9 bulan lalu', '2,2RB']"
1,https://shopee.co.id/CASE-SAMSUNG-A02-A02s-A12-A01-A21-A41-A20-A30-A60-SOFTCASE-MY-CHOICE-BUMPER-AERO-i.299079311.3850919441,"['4.5', '63', '173']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanSilikon', 'Model HPSamsung', 'Stok318261', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
2,https://shopee.co.id/CASING-CASE-XIAOMI-REDMI-4A-4X-5A-6A-7-7A-8-8A-9-9A-10-SOFTCASE-IPAKY-CARBON-i.299079311.6950982389,"['4.4', '66', '382']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekXiaomi', 'BahanSilikon', 'Model HPXiaomi', 'Stok780', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
3,https://shopee.co.id/OPPO-VIVO-XIAOMI-SAMSUNG-IPHONE-ASUS-REALME-CUSTOM-CASE-SOFTCASE-RANDOM-CUSTOM-CASE-HARTA-TAHTA-i.120758727.1856733098,"['4.8', '455', '10RB+']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversCustom Case', 'MerekXiaomi', 'BahanSilikon', 'Model HPALL TYPE', 'Stok16855', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",jayaraya.id,"['5RB', '805', '63%', 'hitungan jam', '29 bulan lalu', '6RB']"
4,https://shopee.co.id/CASING-SOFT-CASE-TPU-OPPO-F11-A1K-REALME-C2-A71-F9-A7-A5S-A3S-A37-A5-2020-A9-2020-F1S-A59-i.35026093.1011178273,"['4.6', '26,9RB', '10RB+']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekOppo', 'BahanSilikon', 'Model HPOppo', 'Stok8799', 'Dikirim DariKOTA JAKARTA TIMUR - PULO GADUNG, DKI JAKARTA, ID']",rajakingkong,"['296,6RB', '931', '90%', 'hitungan jam', '4 tahun lalu', '356,8RB']"
5,https://shopee.co.id/Casing-Housing-Samsung-Galaxy-J1-J100-J100H-Fullset-i.52755387.1284394692,"['5.0', '18', '27']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanMetal', 'Model HPJ1 J100 J100H', 'Stok139', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",miaumiaushop,"['11,4RB', '776', '95%', 'hitungan jam', '3 tahun lalu', '3,4RB']"
6,https://shopee.co.id/CASING-CASE-SAMSUNG-M10-M20-M21-M40-M20s-M30s-SOFTCASE-IPAKY-CARBON-i.299079311.3951063718,"['4.3', '15', '43']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanPlastik', 'Model HPSamsung', 'Stok217', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
7,https://shopee.co.id/BackDoor-Tutup-Belakang-BackCover-Casing-HP-Oppo-Clover-R815-ORIGINAL-i.44978207.1784516326,"['5.0', '9', '14']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekOppo', 'BahanPlastik', 'Model HPOppo Clover / R815', 'Stok85', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",jhonichen,"['5RB', '1,5RB', '90%', 'hitungan jam', '4 tahun lalu', '1,6RB']"
8,https://shopee.co.id/My-Choice-Aero-Case-Oppo-A54-2021-TERBARU-Pelindung-Kamera-Protector-Camera-i.306385240.5686020133,"['4.8', '288', '1,1RB']",Rp11.000,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekOppo', 'BahanPlastik', 'Model HPOppo A54 2021', 'Stok52', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",spot_accessories,"['4,3RB', '224', '87%', 'hitungan jam', '9 bulan lalu', '2,2RB']"
9,https://shopee.co.id/Housing-Casing-Fullset-Samsung-Grand-Neo-i9060-Neo-Plus-i9060i-i.9628779.260379291,"['4.5', '165', '255']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanPlastik', 'Model HPi9060 / i9060i', 'Stok56', 'Dikirim DariKOTA TANGERANG - CIPONDOH, BANTEN, ID']",trimonstek,"['30,2RB', '2RB', '68%', 'hitungan jam', '5 tahun lalu', '8,7RB']"
