link,penilaian,price,spek,seller_name,seller_rate,star_rating,cunt_rating,sales,category,Merk,Stock,Supplier_Place,total_penilaian,total_product,percentage_reply_m,reply_time_parameter,registered_date,follower
https://shopee.co.id/Pashmina-Ceruty-Baby-Doll-Premium-180x75-Pashmina-Pashmina-ceruti-i.293835597.5170164240,"['4.8', '23RB', '10RB+']",Rp9.000 - Rp18.999,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'StyleCasual', 'BahanCeruty', 'Stok204006', 'Dikirim DariKOTA JAKARTA UTARA - TANJUNG PRIOK, DKI JAKARTA, ID']",paytwoyou,"['33,3RB', '26', '83%', 'hitungan jam', '10 bulan lalu', '38,8RB']",4.8,23RB,10RB+,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,StyleCasual,BahanCeruty,"33,3RB",26,83%,hitungan jam,10 bulan lalu,"38,8RB"
https://shopee.co.id/PASHMINA-PRISKET-PREMIUM-175-x-75-cm-jilbab-pashmina-prisket-premium-i.8862672.9646609425,"['4.8', '386', '1,2RB']",Rp55.000,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'Bahanbaby doll', 'Stok969', 'Dikirim DariKOTA JAKARTA BARAT - KALIDERES, DKI JAKARTA, ID']",match.id,"['459', '8', '85%', 'hitungan jam', '5 tahun lalu', '525']",4.8,386,"1,2RB",KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,459,8,85%,hitungan jam,5 tahun lalu,525
https://shopee.co.id/Pashmina-Plisket-Ceruty-Babydoll-Premium-i.275309434.3580165791,"['4.8', '53', '178']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok186', 'Dikirim DariKAB. BANDUNG - CICALENGKA, JAWA BARAT, ID']",m.a.r.s_21,"['58', '12', '85%', 'hitungan jam', '12 bulan lalu', '74']",4.8,53,178,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,58,12,85%,hitungan jam,12 bulan lalu,74
https://shopee.co.id/Hijabwanitacantik-Pashmina-Divi-Pashmina-Hijab-i.45229875.4177779063,"['4.9', '858', '1,7RB']",Rp42.500,"['KategoriShopeeFashion MuslimHijab', 'MerekHijab Wanita Cantik', 'Asal ProdukLokal', 'StylePashmina', 'BahanDiamond Strech ORIGINAL', 'Stok Diskon27', 'Stok Lain322', 'Dikirim DariKOTA TANGERANG SELATAN - CIPUTAT, BANTEN, ID']",hijabwanitacantik.official,"['122,2RB', '184', '46%', 'hitungan jam', '4 tahun lalu', '488,2RB']",4.9,858,"1,7RB",KategoriShopeeFashion MuslimHijab,MerekHijab Wanita Cantik,Asal ProdukLokal,StylePashmina,"122,2RB",184,46%,hitungan jam,4 tahun lalu,"488,2RB"
https://shopee.co.id/Hijabwanitacantik-Pashmina-Cyra-Pashmina-Hijab-i.45229875.7135773016,"['4.9', '10,1RB', '10RB+']",Rp58.912 - Rp65.000,"['KategoriShopeeFashion MuslimHijab', 'MerekHijab Wanita Cantik', 'Asal ProdukLokal', 'StylePashmina', 'BahanCerutti Babydoll', 'Stok2713', 'Dikirim DariKOTA TANGERANG SELATAN - CIPUTAT, BANTEN, ID']",hijabwanitacantik.official,"['122,2RB', '184', '46%', 'hitungan jam', '4 tahun lalu', '488,2RB']",4.9,"10,1RB",10RB+,KategoriShopeeFashion MuslimHijab,MerekHijab Wanita Cantik,Asal ProdukLokal,StylePashmina,"122,2RB",184,46%,hitungan jam,4 tahun lalu,"488,2RB"
https://shopee.co.id/Termurah-Part-2-pashmina-crinkle-Azara-95x190-Pashmina-Crinkle-Pashmina-Crinkle-Pashmina-i.69378570.2442003637,"['4.9', '4,2RB', '10RB+']",Rp10.500 - Rp14.900,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCrinkle', 'Stok633', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",grosir_hijab_termurah,"['65,8RB', '435', '98%', 'hitungan jam', '3 tahun lalu', '84,6RB']",4.9,"4,2RB",10RB+,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"65,8RB",435,98%,hitungan jam,3 tahun lalu,"84,6RB"
https://shopee.co.id/Part-1-Termurah-Pashmina-Crinkle-Azara-Pashmina-Crinkle-Crinkle-Azara-i.69378570.2462885208,"['4.9', '4,1RB', '10RB+']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'Bahancrinkle', 'Stok628', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",grosir_hijab_termurah,"['65,8RB', '435', '98%', 'hitungan jam', '3 tahun lalu', '84,6RB']",4.9,"4,1RB",10RB+,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"65,8RB",435,98%,hitungan jam,3 tahun lalu,"84,6RB"
https://shopee.co.id/Pashmina-Crinkle-ori-Turkey-Pashmina-Kusut-Rawis-i.10824366.2627626856,"['4.8', '6,9RB', '10RB+']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'Bahancotton premium', 'Stok705', 'Dikirim DariKOTA SURABAYA - KREMBANGAN, JAWA TIMUR, ID']",musimah_hijab,"['71,4RB', '559', '79%', 'hitungan jam', '5 tahun lalu', '50,3RB']",4.8,"6,9RB",10RB+,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"71,4RB",559,79%,hitungan jam,5 tahun lalu,"50,3RB"
https://shopee.co.id/TERMURAH-PASHMINA-CRINKLE-ORIGINAL-TURKEY-(1KG-MUAT-11PCS)-i.55583719.5300600703,"['4.8', '2,3RB', '7,1RB']",Rp13.999 - Rp15.999,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukImpor', 'StyleCasual', 'BahanKatun', 'Stok622', 'Dikirim DariKOTA SURABAYA - SEMAMPIR, JAWA TIMUR, ID']",greenday.veil,"['63,9RB', '256', '63%', 'hitungan jam', '3 tahun lalu', '44,8RB']",4.8,"2,3RB","7,1RB",KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukImpor,StyleCasual,"63,9RB",256,63%,hitungan jam,3 tahun lalu,"44,8RB"
https://shopee.co.id/pasmina-kusut-pasmina-crinkle-part-2-i.219571151.5262001841,"['4.8', '19', '35']",,"['KategoriShopeeFashion MuslimHijab', 'MerekLavanya Hijab', 'Asal ProdukLokal', 'StyleCasual', 'BahanKatun', 'Stok189', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",skincaremurah,"['478', '41', '61%', 'hitungan jam', '17 bulan lalu', '724']",4.8,19,35,KategoriShopeeFashion MuslimHijab,MerekLavanya Hijab,Asal ProdukLokal,StyleCasual,478,41,61%,hitungan jam,17 bulan lalu,724
