link,penilaian,price,spek,seller_name,seller_rate,star_rating,cunt_rating,sales,category,Merk,Stock,Supplier_Place,total_penilaian,total_product,percentage_reply_m,reply_time_parameter,registered_date,follower
https://shopee.co.id/Budliya-Pashmina-Leeya-Ceruty-Babydoll-Premium-Earth-Pallette-i.52863044.5560064926,"['4.9', '83', '203']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'BahanCeruty', 'Stok580', 'Dikirim DariKOTA SURABAYA - TANDES, JAWA TIMUR, ID']",budliya,"['236', '29', '87%', 'hitungan jam', '3 tahun lalu', '868']",4.9,83,203,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,BahanCeruty,236,29,87%,hitungan jam,3 tahun lalu,868
https://shopee.co.id/Pashmina-Ceruti-Baby-Doll-Premium-i.30859898.1265503190,"['4.9', '1,2RB', '2,9RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanChiffon', 'Stok724', 'Dikirim DariKOTA SURABAYA - WONOCOLO, JAWA TIMUR, ID']",adelianura,"['3,2RB', '30', '90%', 'hitungan jam', '4 tahun lalu', '3,5RB']",4.9,"1,2RB","2,9RB",KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"3,2RB",30,90%,hitungan jam,4 tahun lalu,"3,5RB"
https://shopee.co.id/HIJAB-PASHMINA-CERUTY-BABYDOLL-jilbab-pashmina-shawl-premium-anti-kusut-murah-nyaman-part-2-i.5728346.5045746769,"['5.0', '8', '11']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok49', 'Dikirim DariKOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID']",nourascarves,"['137', '18', '89%', 'hitungan jam', '5 tahun lalu', '139']",5.0,8,11,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,137,18,89%,hitungan jam,5 tahun lalu,139
https://shopee.co.id/Pashmina-Al-Bilal-Pad-Instant-i.323952086.9802797268,"['4.5', '2', '12']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleInstant', 'BahanCeruty BabyDoll', 'Stok8', 'Dikirim DariKOTA SURABAYA - KARANGPILANG, JAWA TIMUR, ID']",rachmashop18,"['508', '51', '88%', 'hitungan jam', '8 bulan lalu', '419']",4.5,2,12,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleInstant,508,51,88%,hitungan jam,8 bulan lalu,419
https://shopee.co.id/PASHMINA-CERUTY-BABYDOLL-PART-II-i.2781623.4430861766,"['4.9', '10,8RB', '10RB+']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok104487', 'Dikirim DariKOTA SURABAYA - BULAK, JAWA TIMUR, ID']",gladystore.id,"['69,3RB', '168', '62%', 'hitungan jam', '5 tahun lalu', '52,2RB']",4.9,"10,8RB",10RB+,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"69,3RB",168,62%,hitungan jam,5 tahun lalu,"52,2RB"
https://shopee.co.id/PASHMINA-DIAMOND-180cm-PART-I-i.2781623.1197379625,"['4.8', '2,8RB', '10RB+']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'Bahandiamond italiano premium', 'Stok Diskon3104', 'Stok Lain19071', 'Dikirim DariKOTA SURABAYA - BULAK, JAWA TIMUR, ID']",gladystore.id,"['69,3RB', '168', '62%', 'hitungan jam', '5 tahun lalu', '52,2RB']",4.8,"2,8RB",10RB+,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"69,3RB",168,62%,hitungan jam,5 tahun lalu,"52,2RB"
https://shopee.co.id/Pasmina-Diamond-Best-Seller-i.45029752.5055653230,"['4.7', '7,7RB', '10RB+']",Rp15.099,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleSyari', 'BahanWolfis', 'Stok2740', 'Dikirim DariKOTA SURABAYA - SAMBIKEREP, JAWA TIMUR, ID']",kus_14,"['282,3RB', '234', '39%', 'hitungan jam', '4 tahun lalu', '75,7RB']",4.7,"7,7RB",10RB+,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleSyari,"282,3RB",234,39%,hitungan jam,4 tahun lalu,"75,7RB"
https://shopee.co.id/PASHMINA-PLISKET-FULL-PASHMINA-PLEATS-i.2781623.3021535777,"['4.8', '2,1RB', '10RB+']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'BahanCeruty', 'Stok1113', 'Dikirim DariKOTA SURABAYA - BULAK, JAWA TIMUR, ID']",gladystore.id,"['69,3RB', '168', '62%', 'hitungan jam', '5 tahun lalu', '52,2RB']",4.8,"2,1RB",10RB+,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,BahanCeruty,Stok1113,"69,3RB",168,62%,hitungan jam,5 tahun lalu,"52,2RB"
https://shopee.co.id/Hijab-Bella-Pashmina-Murah-(Victoria)-i.10740059.3004406427,"['4.8', '116', '304']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'BahanDouble hycount', 'Stok999715', 'Dikirim DariKOTA SURABAYA - MULYOREJO, JAWA TIMUR, ID']",victoriahouse,"['105,9RB', '633', '75%', 'hitungan jam', '5 tahun lalu', '79,5RB']",4.8,116,304,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,BahanDouble hycount,Stok999715,"105,9RB",633,75%,hitungan jam,5 tahun lalu,"79,5RB"
https://shopee.co.id/Pashmina-Crinkle-ori-Turkey-Pashmina-Kusut-Rawis-i.10824366.2627626856,"['4.8', '6,9RB', '10RB+']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'Bahancotton premium', 'Stok705', 'Dikirim DariKOTA SURABAYA - KREMBANGAN, JAWA TIMUR, ID']",musimah_hijab,"['71,4RB', '559', '79%', 'hitungan jam', '5 tahun lalu', '50,3RB']",4.8,"6,9RB",10RB+,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"71,4RB",559,79%,hitungan jam,5 tahun lalu,"50,3RB"
